track_spotifyID,artist_spotifyID,artist_mbid,artist_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
2BgEsaKNfHUdlh97KmvFyo,1zNqDE7qDGCsyzJwohVaoX,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,Anne-Marie,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,82,186986,False,7lPoGKpCGgdKFAxpudhAH5,10,2018-04-27,album
4txc3txsIt81diMzGhrVPS,6qqNVTkY8uBg9cP3Jd7DAH,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS,10,221543,False,0l89FgpjfprAbdXegY4Xn3,1,2019-03-04,single
0e7ipj03S05BNilyu5bRzt,246dkjvS1zLTtiykXe5h60,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,Post Malone,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,87,218146,False,6trNtQUgC8cgbWcqoMYkOR,6,2018-04-27,album
0e7ipj03S05BNilyu5bRzt,1URnnhqYAYcrqrcwql10ft,37b2cb82-ef79-4d46-a184-a549450aa231,21 Savage,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,87,218146,False,6trNtQUgC8cgbWcqoMYkOR,6,2018-04-27,album
1TULEHv0wpIZYI7zqmhzEg,5zfEatKLDdRkgbw6sdLBAQ,187bbdde-343a-4978-9cb4-08df62e18986,Octavian,https://open.spotify.com/track/1TULEHv0wpIZYI7zqmhzEg,64,166143,False,6hN1bGeQwk7qzZqnGSWeJp,1,2019-02-27,single
1TULEHv0wpIZYI7zqmhzEg,2p1fiYHYiXz9qi0JJyxBzN,38474d18-9204-4f60-a137-1fcc6750b869,Skepta,https://open.spotify.com/track/1TULEHv0wpIZYI7zqmhzEg,64,166143,False,6hN1bGeQwk7qzZqnGSWeJp,1,2019-02-27,single
1TULEHv0wpIZYI7zqmhzEg,1CDmkNCsL8VMJ5nhkGqvVN,,Michael Phantom,https://open.spotify.com/track/1TULEHv0wpIZYI7zqmhzEg,64,166143,False,6hN1bGeQwk7qzZqnGSWeJp,1,2019-02-27,single
4EtIza2cKMmR2XP7idebXG,5Z1CCuBsyhEHngq3U5IraY,5f000e69-3cfd-4871-8f1b-faa7f0d4bcbc,Westlife,https://open.spotify.com/track/4EtIza2cKMmR2XP7idebXG,61,214211,False,319h1Lrxw9Xmx4TDoPG2Hk,1,2019-01-10,single
6UTmrvq4nRmx1iQ6iMd1FD,2FXC3k01G6Gw61bmprjgqS,b4691384-50c3-4afd-9988-51d3ec5db65d,Hozier,https://open.spotify.com/track/6UTmrvq4nRmx1iQ6iMd1FD,0,217480,False,0M20J2mmnqQH9g32HxEQEa,2,2019-01-28,album
1NJcg626wLln4pGHpiV7mf,6qqNVTkY8uBg9cP3Jd7DAH,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,53,200185,False,5YCdlD3eREt72lTZxNL7id,10,2017-08-11,single
1NJcg626wLln4pGHpiV7mf,6LuN9FCkKOj5PcnpouEgny,28737730-ec70-4da5-89c5-77ac13c5c34d,Khalid,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,53,200185,False,5YCdlD3eREt72lTZxNL7id,10,2017-08-11,single
39LmTF9RgyakzSYX8txrow,66CXWjxzNUsdJxJ2JdwvnR,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,75,212266,False,2fYhqwDWXjbpjaIJPEfKFw,1,2019-02-08,album
1AvLAAXMtq7IGi48x9TrD7,2yPprAQlrIQWu60g09B9MZ,,Swarmz,https://open.spotify.com/track/1AvLAAXMtq7IGi48x9TrD7,56,165188,False,51SX0GbsTUA8juNFnMsxM3,1,2019-01-18,single
1AvLAAXMtq7IGi48x9TrD7,7b79bQFziJFedJb75k6hFt,,Tion Wayne,https://open.spotify.com/track/1AvLAAXMtq7IGi48x9TrD7,56,165188,False,51SX0GbsTUA8juNFnMsxM3,1,2019-01-18,single
3Ol2xnObFdKV9pmRD2t9x8,31W5EY0aAly4Qieq6OFu6I,c1708d03-8a66-46eb-848e-fe0d233ffb39,A Boogie Wit da Hoodie,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,79,179449,False,3r5hf3Cj3EMh1C2saQ8jyt,11,2018-12-21,album
11cDEev79fPKi6uJCjUhu8,69GGBxA162lTqCwzJG5jLp,91a81925-92f9-4fc9-b897-93cf01226282,The Chainsmokers,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,21,226746,False,7D7hZbj2cLXwozxYePDF6d,1,2019-02-07,single
11cDEev79fPKi6uJCjUhu8,5Rl15oVamLq7FbSb0NNBNy,830e5c4e-6b7d-431d-86ab-00c751281dc5,5 Seconds of Summer,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,21,226746,False,7D7hZbj2cLXwozxYePDF6d,1,2019-02-07,single
